SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2

800.00         0.00              18.26              0.00              23.70
800.00         0.00              24.41              0.00              35.56
800.00         0.00              30.57              17.00              46.84
800.00         11.00              36.39              66.00              56.87
800.00         8.00              42.63              138.00              65.53
800.00         77.00              46.61              237.00              72.30
800.00         185.00              49.41              344.00              77.44
800.00         185.00              54.95              344.00              84.59
800.00         1058.00              33.25              1000.00              69.48
800.00         1067.00              37.49              1008.00              68.68
800.00         1027.00              36.72              1007.00              65.66
800.00         1002.00              35.43              1010.00              62.49
800.00         962.00              34.90              1009.00              59.43
800.00         962.00              33.36              1009.00              56.33
800.00         617.00              42.56              1000.00              53.53
800.00         657.00              40.18              979.00              51.23
800.00         705.00              40.13              970.00              48.80
800.00         750.00              39.86              955.00              46.75
800.00         784.00              39.55              949.00              44.60
800.00         784.00              39.92              949.00              42.37
800.00         941.00              35.29              852.00              43.40
800.00         917.00              36.10              843.00              42.57
800.00         869.00              36.48              839.00              42.03
800.00         821.00              37.04              835.00              41.57
800.00         787.00              37.55              829.00              41.24
800.00         787.00              37.40              829.00              40.79
800.00         714.00              39.71              773.00              42.22
800.00         744.00              38.92              773.00              42.42
800.00         760.00              39.09              780.00              42.58
800.00         771.00              39.18              786.00              42.70
800.00         777.00              39.31              783.00              43.03
800.00         777.00              39.53              783.00              43.27
800.00         863.00              37.10              773.00              43.86
800.00         828.00              38.32              784.00              43.86
800.00         820.00              38.08              790.00              43.93
800.00         816.00              37.99              801.00              43.74
800.00         811.00              37.99              799.00              43.83
800.00         811.00              37.87              799.00              43.84
800.00         833.00              37.12              803.00              43.72
800.00         828.00              37.18              798.00              43.86
800.00         839.00              36.59              800.00              43.80
800.00         821.00              36.92              791.00              44.11
800.00         799.00              37.29              793.00              44.14
800.00         799.00              37.13              793.00              44.25
800.00         735.00              39.08              794.00              44.32
800.00         754.00              38.53              813.00              43.78
800.00         790.00              37.93              810.00              43.76
800.00         798.00              38.04              806.00              43.73
800.00         811.00              37.72              805.00              43.66
800.00         811.00              37.73              805.00              43.59
800.00         833.00              36.98              803.00              43.58
800.00         833.00              36.89              818.00              43.03
800.00         790.00              37.94              810.00              43.08
800.00         771.00              38.27              808.00              42.97
