SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2

800.00         0.00              11.71              0.00              23.70
800.00         0.00              17.56              40.00              34.22
800.00         0.00              23.41              104.00              43.50
800.00         0.00              29.27              210.00              50.51
800.00         0.00              35.12              316.00              56.11
800.00         6.00              40.88              409.00              60.57
800.00         58.00              45.84              486.00              64.14
800.00         58.00              51.36              486.00              69.08
800.00         922.00              42.57              922.00              59.20
800.00         967.00              42.52              922.00              59.01
800.00         982.00              41.13              932.00              56.87
800.00         994.00              39.63              934.00              54.88
800.00         997.00              38.18              938.00              52.77
800.00         997.00              36.75              938.00              50.74
800.00         852.00              37.69              941.00              48.60
800.00         857.00              36.96              931.00              46.85
800.00         836.00              36.90              915.00              45.41
800.00         821.00              36.85              917.00              43.58
800.00         805.00              36.93              912.00              42.02
800.00         805.00              36.86              912.00              40.34
800.00         744.00              37.83              863.00              40.32
800.00         773.00              37.65              877.00              38.73
800.00         770.00              37.95              869.00              37.91
800.00         778.00              38.03              860.00              37.16
800.00         793.00              37.96              853.00              36.47
800.00         793.00              38.04              853.00              35.66
800.00         863.00              36.94              833.00              35.54
800.00         857.00              36.71              828.00              35.14
800.00         839.00              36.57              820.00              34.98
800.00         816.00              36.63              823.00              34.55
800.00         787.00              36.95              817.00              34.42
800.00         787.00              36.99              817.00              34.15
800.00         588.00              40.37              794.00              34.66
800.00         636.00              40.76              798.00              34.53
800.00         691.00              41.14              790.00              34.84
800.00         739.00              41.25              791.00              34.93
800.00         781.00              41.10              793.00              35.00
800.00         781.00              41.31              793.00              35.11
800.00         970.00              38.34              794.00              35.18
800.00         976.00              37.34              798.00              35.14
800.00         974.00              36.10              797.00              35.22
800.00         954.00              35.15              798.00              35.23
800.00         930.00              34.38              799.00              35.23
800.00         930.00              33.39              799.00              35.24
800.00         625.00              37.46              803.00              35.13
800.00         639.00              37.95              803.00              35.10
800.00         662.00              38.77              800.00              35.15
800.00         697.00              39.25              801.00              35.11
