SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2

1000.00         0.00              22.83              0.00              29.63
1000.00         0.00              30.52              0.00              44.44
1000.00         0.00              38.21              34.00              58.13
1000.00         77.00              43.57              110.00              70.03
1000.00         200.00              47.52              240.00              79.16
1000.00         333.00              50.56              384.00              86.10
1000.00         439.00              53.47              491.00              92.20
1000.00         439.00              58.58              491.00              100.13
1000.00         1104.00              42.76              1046.00              89.17
1000.00         1106.00              46.85              1048.00              90.48
1000.00         1111.00              45.90              1053.00              89.61
1000.00         1110.00              45.11              1045.00              89.11
1000.00         1112.00              44.20              1049.00              88.28
1000.00         1112.00              43.35              1049.00              87.57
1000.00         1091.00              43.13              1063.00              86.38
1000.00         1085.00              42.45              1042.00              86.20
1000.00         1087.00              41.69              1049.00              85.26
1000.00         1078.00              41.31              1050.00              84.53
1000.00         1075.00              40.74              1052.00              83.73
1000.00         1075.00              40.14              1052.00              82.96
1000.00         1005.00              41.68              1063.00              81.83
1000.00         1014.00              40.85              1057.00              81.13
1000.00         1011.00              40.90              1049.00              80.53
1000.00         1007.00              40.91              1050.00              79.74
1000.00         1006.00              40.86              1052.00              78.94
1000.00         1006.00              40.80              1052.00              78.18
1000.00         1005.00              40.79              1063.00              77.04
1000.00         1000.00              40.89              1042.00              76.85
1000.00         1001.00              40.83              1040.00              76.22
1000.00         1000.00              40.86              1035.00              75.78
1000.00         995.00              41.00              1029.00              75.44
1000.00         995.00              41.00              1029.00              74.99
1000.00         1017.00              40.37              1046.00              74.00
1000.00         991.00              41.19              1020.00              74.24
1000.00         990.00              41.10              1019.00              73.89
1000.00         994.00              41.05              1015.00              73.73
1000.00         998.00              41.00              1016.00              73.46
1000.00         998.00              41.05              1016.00              73.23
1000.00         959.00              42.24              1017.00              72.96
1000.00         939.00              42.87              997.00              73.38
1000.00         949.00              42.89              998.00              73.32
1000.00         947.00              43.42              1005.00              73.12
1000.00         947.00              43.81              1005.00              73.07
1000.00         947.00              44.22              1005.00              72.99
1000.00         977.00              43.72              1005.00              72.92
1000.00         982.00              43.97              1011.00              72.64
1000.00         980.00              44.20              1009.00              72.57
1000.00         982.00              44.28              1004.00              72.60
1000.00         987.00              44.29              1004.00              72.52
1000.00         987.00              44.42              1004.00              72.46
1000.00         1017.00              43.61              1017.00              71.97
1000.00         1020.00              43.62              1005.00              72.16
1000.00         1034.00              43.06              1005.00              72.04
1000.00         1031.00              42.99              1010.00              71.80
1000.00         1043.00              42.37              1009.00              71.71
