SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2

800.00         0.00              19.10              0.00              23.70
800.00         0.00              24.63              0.00              35.56
800.00         0.00              30.16              0.00              47.41
800.00         0.00              35.69              44.00              57.79
800.00         0.00              41.22              156.00              65.42
800.00         71.00              44.92              272.00              71.51
800.00         180.00              47.29              377.00              76.26
800.00         180.00              51.77              377.00              82.92
800.00         1041.00              33.92              1011.00              68.05
800.00         1008.00              34.68              994.00              67.84
800.00         957.00              34.49              996.00              64.84
800.00         901.00              34.75              989.00              62.17
800.00         847.00              35.34              982.00              59.58
800.00         847.00              34.92              982.00              56.86
800.00         441.00              45.03              911.00              56.53
800.00         532.00              44.43              917.00              54.42
800.00         629.00              43.96              915.00              52.78
800.00         710.00              43.23              909.00              51.27
800.00         770.00              42.46              900.00              49.93
800.00         770.00              42.78              900.00              48.42
800.00         1041.00              36.02              803.00              50.17
800.00         1000.00              35.90              823.00              49.10
800.00         960.00              35.47              833.00              48.50
800.00         914.00              35.48              833.00              48.04
800.00         866.00              35.84              825.00              47.82
800.00         866.00              35.29              825.00              47.42
800.00         535.00              43.35              833.00              46.79
800.00         576.00              43.52              813.00              46.99
800.00         671.00              42.70              800.00              47.16
800.00         732.00              42.20              798.00              47.18
800.00         776.00              41.65              793.00              47.37
800.00         776.00              41.89              793.00              47.45
800.00         970.00              37.07              794.00              47.52
800.00         976.00              36.10              798.00              47.48
800.00         958.00              35.36              790.00              47.79
800.00         917.00              35.29              791.00              47.88
800.00         882.00              35.30              787.00              48.15
800.00         882.00              34.67              787.00              48.33
800.00         535.00              43.02              773.00              48.99
800.00         595.00              42.68              788.00              48.83
800.00         671.00              42.25              790.00              49.00
800.00         734.00              41.66              801.00              48.79
800.00         783.00              40.97              801.00              48.82
800.00         783.00              41.18              801.00              48.80
800.00         1011.00              35.44              833.00              47.72
800.00         970.00              35.45              808.00              48.18
800.00         925.00              35.36              816.00              47.70
800.00         880.00              35.57              813.00              47.60
800.00         833.00              36.14              803.00              47.73
800.00         833.00              35.83              803.00              47.64
800.00         505.00              44.03              803.00              47.60
800.00         576.00              43.64              784.00              48.19
800.00         662.00              43.11              790.00              48.16
800.00         724.00              42.63              791.00              48.29
800.00         764.00              42.24              793.00              48.36
800.00         764.00              42.56              793.00              48.47
800.00         911.00              39.03              794.00              48.54
800.00         917.00              38.38              798.00              48.50
800.00         899.00              38.04              800.00              48.48
800.00         887.00              37.63              798.00              48.56
800.00         876.00              37.29              799.00              48.54
800.00         876.00              36.75              799.00              48.56
800.00         714.00              40.39              803.00              48.44
800.00         729.00              40.30              818.00              47.92
800.00         750.00              40.28              810.00              47.97
800.00         771.00              40.12              816.00              47.59
800.00         789.00              39.90              813.00              47.48
800.00         789.00              40.01              813.00              47.27
800.00         863.00              38.18              803.00              47.42
800.00         857.00              38.04              798.00              47.50
800.00         849.00              37.84              790.00              47.78
800.00         845.00              37.59              793.00              47.80
800.00         835.00              37.53              787.00              48.11
800.00         835.00              37.26              787.00              48.28
800.00         803.00              37.85              803.00              47.94
800.00         784.00              38.25              784.00              48.59
800.00         780.00              38.43              790.00              48.56
800.00         784.00              38.46              791.00              48.69
800.00         787.00              38.50              793.00              48.76
800.00         787.00              38.60              793.00              48.87
800.00         823.00              37.76              794.00              48.94
800.00         813.00              37.93              813.00              48.40
800.00         810.00              37.90              810.00              48.38
800.00         798.00              38.13              806.00              48.36
800.00         799.00              38.10              805.00              48.29
800.00         799.00              38.10              805.00              48.21
800.00         863.00              36.47              803.00              48.20
800.00         848.00              36.53              803.00              48.15
800.00         800.00              37.41              810.00              47.87
800.00         778.00              37.89              808.00              47.82
800.00         777.00              38.02              807.00              47.72
800.00         777.00              38.18              807.00              47.62
800.00         833.00              36.90              744.00              49.61
800.00         769.00              38.42              769.00              49.37
800.00         750.00              39.00              790.00              49.23
800.00         764.00              38.96              801.00              49.09
800.00         770.00              39.08              799.00              49.18
800.00         770.00              39.29              799.00              49.19
800.00         863.00              37.11              833.00              48.07
800.00         872.00              36.61              828.00              47.87
800.00         859.00              36.47              830.00              47.37
800.00         828.00              36.83              821.00              47.23
800.00         793.00              37.48              817.00              47.02
800.00         793.00              37.47              817.00              46.76
800.00         676.00              40.52              794.00              47.27
800.00         710.00              40.29              798.00              47.14
800.00         741.00              40.18              800.00              47.12
800.00         761.00              40.13              791.00              47.43
800.00         781.00              39.92              799.00              47.26
800.00         781.00              40.09              799.00              47.30
800.00         892.00              37.37              803.00              47.19
800.00         863.00              37.68              803.00              47.16
800.00         849.00              37.55              800.00              47.21
800.00         838.00              37.47              801.00              47.17
800.00         825.00              37.52              801.00              47.16
800.00         825.00              37.32              801.00              47.14
800.00         803.00              37.72              803.00              47.06
800.00         798.00              37.78              784.00              47.66
800.00         810.00              37.48              790.00              47.62
800.00         816.00              37.28              793.00              47.69
0.00         817.00              18.05              787.00              24.30
