SETPOINT      RPM RODA 1         PWM RODA 1        RPM RODA 2         PWM RODA 2
800.00         931.00              35.24              798.00              35.97
800.00         886.00              34.98              797.00              36.08
800.00         886.00              34.27              797.00              36.12
800.00         505.00              39.92              833.00              34.96
800.00         547.00              40.69              813.00              35.27
800.00         612.00              41.54              810.00              35.11
800.00         675.00              42.00              808.00              35.02
800.00         722.00              42.26              805.00              34.99
800.00         722.00              42.91              805.00              34.90
800.00         1000.00              38.91              794.00              35.20
800.00         1000.00              37.95              794.00              35.24
800.00         990.00              36.65              794.00              35.33
800.00         970.00              35.57              794.00              35.42
800.00         937.00              34.84              795.00              35.48
800.00         937.00              33.77              795.00              35.56
800.00         617.00              38.04              794.00              35.66
800.00         650.00              38.25              798.00              35.62
800.00         679.00              38.93              797.00              35.69
800.00         710.00              39.36              798.00              35.70
800.00         740.00              39.58              799.00              35.70
800.00         740.00              40.07              799.00              35.72
800.00         922.00              37.52              803.00              35.60
800.00         937.00              36.71              803.00              35.57
800.00         918.00              36.05              810.00              35.29
800.00         882.00              35.74              808.00              35.24
800.00         847.00              35.65              811.00              35.01
800.00         847.00              35.25              811.00              34.86
800.00         535.00              40.04              803.00              34.96
800.00         576.00              40.73              798.00              35.06
800.00         642.00              41.36              800.00              35.00
800.00         689.00              41.86              801.00              34.97
800.00         728.00              42.12              799.00              35.03
800.00         728.00              42.72              799.00              35.04
800.00         911.00              40.23              794.00              35.22
800.00         917.00              39.65              798.00              35.16
800.00         918.00              38.79              800.00              35.13
800.00         909.00              38.08              798.00              35.21
800.00         900.00              37.41              799.00              35.20
800.00         900.00              36.66              799.00              35.22
800.00         823.00              37.20              823.00              34.43
800.00         798.00              37.30              813.00              34.51
800.00         797.00              37.29              807.00              34.48
800.00         798.00              37.29              806.00              34.39
800.00         799.00              37.29              805.00              34.33
800.00         799.00              37.30              805.00              34.25
800.00         833.00              36.75              803.00              34.24
800.00         833.00              36.57              788.00              34.69
800.00         790.00              37.04              790.00              34.75
800.00         778.00              37.23              786.00              35.04
800.00         776.00              37.40              781.00              35.40
800.00         776.00              37.57              781.00              35.66
800.00         833.00              36.81              773.00              36.21
800.00         798.00              37.25              784.00              36.21
800.00         790.00              37.33              790.00              36.29
800.00         786.00              37.46              793.00              36.36
800.00         787.00              37.53              799.00              36.27
800.00         787.00              37.63              799.00              36.31
800.00         823.00              37.13              794.00              36.49
800.00         843.00              36.70              798.00              36.43
800.00         830.00              36.64              810.00              36.07
800.00         798.00              36.92              806.00              36.10
800.00         764.00              37.44              805.00              36.03
800.00         764.00              37.64              805.00              35.96
800.00         735.00              38.38              823.00              35.28
800.00         769.00              38.24              813.00              35.34
800.00         787.00              38.23              816.00              35.01
800.00         813.00              37.93              813.00              34.89
800.00         829.00              37.62              817.00              34.55
800.00         829.00              37.44              817.00              34.31
800.00         892.00              36.19              803.00              34.53
800.00         863.00              36.11              818.00              33.93
800.00         830.00              36.14              810.00              33.99
800.00         786.00              36.58              801.00              34.11
800.00         746.00              37.26              799.00              34.13
800.00         746.00              37.59              799.00              34.13
800.00         714.00              38.51              773.00              35.02
800.00         739.00              38.67              769.00              35.45
800.00         780.00              38.48              780.00              35.53
800.00         801.00              38.36              786.00              35.67
800.00         817.00              38.13              781.00              36.06
800.00         817.00              38.03              781.00              36.33
800.00         882.00              36.84              794.00              36.17
800.00         872.00              36.52              813.00              35.68
800.00         839.00              36.52              820.00              35.32
800.00         806.00              36.72              813.00              35.29
800.00         770.00              37.21              811.00              35.13
800.00         770.00              37.36              811.00              34.96
800.00         705.00              38.65              823.00              34.40
